id,latitude,longitude,matrix_id,type,fill_level,waste_kg,priority,elevation_m,nearest_node
0,38.737235,-9.387461,0,start_point,0,0,0,109.0,1843153815
1,38.74494,-9.327972,1,collection_point,0,0,0,144.0,3256825400
6,38.722099304,-9.408709526,2,container,0,0,1,74.0,892322800
319,38.708366394,-9.425400734,3,container,0,0,1,35.0,892584260
976,38.71346283,-9.413927078,4,container,0,0,1,59.0,892323307
1127,38.713600159,-9.424309731,5,container,0,0,1,65.0,892583946
1128,38.713500977,-9.387160301,6,container,0,0,1,62.0,10277032300
2536,38.726699829,-9.468640327,7,container,0,0,1,44.0,2433434009
2539,38.734298706,-9.396699905,8,container,0,0,1,132.0,2403302308
2540,38.728500366,-9.319379807,9,container,0,0,1,89.0,623700596
2964,38.738399506,-9.373470306,10,container,0,0,1,97.0,974166201
2965,38.73789978,-9.370400429,11,container,0,0,1,100.0,974166841
2966,38.735599518,-9.368390083,12,container,0,0,1,94.0,914793855
2967,38.735401154,-9.366359711,13,container,0,0,1,80.0,914806856
2968,38.736400604,-9.364159584,14,container,0,0,1,104.0,984543858
2969,38.738498688,-9.371109962,15,container,0,0,1,103.0,928011175
2970,38.735401154,-9.386710167,16,container,0,0,1,111.0,1837077392
2971,38.743000031,-9.381420135,17,container,0,0,1,134.0,974166455
2972,38.746101379,-9.38022995,18,container,0,0,1,135.0,965434548
2973,38.745098114,-9.380590439,19,container,0,0,1,132.0,13512240881
2974,38.743598938,-9.39054966,20,container,0,0,1,128.0,2141380805
2975,38.744098663,-9.388469696,21,container,0,0,1,127.0,2050708527
2976,38.746799469,-9.388400078,22,container,0,0,1,134.0,2050726246
2977,38.746200562,-9.38973999,23,container,0,0,1,132.0,2050726300
2978,38.745800018,-9.390990257,24,container,0,0,1,128.0,2050708492
2979,38.7541008,-9.397210121,25,container,0,0,1,125.0,1636636171
2980,38.737400055,-9.394980431,26,container,0,0,1,126.0,888784041
2982,38.733100891,-9.403260231,27,container,0,0,1,135.0,672069453
2983,38.732601166,-9.4061203,28,container,0,0,1,120.0,672025290
2984,38.732601166,-9.406979561,29,container,0,0,1,120.0,671819900
2985,38.733699799,-9.40775013,30,container,0,0,1,121.0,671786918
2986,38.735099792,-9.406029701,31,container,0,0,1,124.0,671827398
2988,38.736099243,-9.406599998,32,container,0,0,1,126.0,672025131
2989,38.741199493,-9.405469894,33,container,0,0,1,94.0,1970886427
2990,38.735401154,-9.410539627,34,container,0,0,1,121.0,672196775
2991,38.731300354,-9.424960136,35,container,0,0,1,106.0,1425229317
2992,38.732200623,-9.41215992,36,container,0,0,1,118.0,672196455
2993,38.733600616,-9.411769867,37,container,0,0,1,118.0,672196492
2994,38.728298187,-9.409279823,38,container,0,0,1,112.0,1158299871
2995,38.732299805,-9.408450127,39,container,0,0,1,118.0,672025409
2996,38.731601715,-9.408359528,40,container,0,0,1,120.0,672025399
2997,38.733100891,-9.409700394,41,container,0,0,1,120.0,671835049
2999,38.733001709,-9.394300461,42,container,0,0,1,127.0,914043856
3000,38.733798981,-9.392089844,43,container,0,0,1,122.0,1162552427
3001,38.735500336,-9.391260147,44,container,0,0,1,123.0,1164292590
3002,38.730201721,-9.388170242,45,container,0,0,1,117.0,4291616638
3003,38.729301453,-9.384209633,46,container,0,0,1,108.0,1837077339
3004,38.725898743,-9.38615036,47,container,0,0,1,101.0,923111479
3005,38.71900177,-9.390119553,48,container,0,0,1,72.0,2286756414
3006,38.714500427,-9.375359535,49,container,0,0,1,66.0,1057859754
3007,38.723899841,-9.382800102,50,container,0,0,1,94.0,2286805292
3008,38.722301483,-9.384220123,51,container,0,0,1,81.0,5355274744
3011,38.718299866,-9.378479958,52,container,0,0,1,66.0,1060575049
3012,38.720298767,-9.377590179,53,container,0,0,1,73.0,1060574829
3013,38.723400116,-9.379199982,54,container,0,0,1,90.0,5268836929
3014,38.723701477,-9.37582016,55,container,0,0,1,91.0,1574808364
3015,38.724300385,-9.374480247,56,container,0,0,1,95.0,2658704170
3016,38.725299835,-9.379480362,57,container,0,0,1,102.0,2658704273
3017,38.727600098,-9.38064003,58,container,0,0,1,97.0,2942804016
3018,38.727798462,-9.383210182,59,container,0,0,1,101.0,5337048883
3019,38.731700897,-9.37790966,60,container,0,0,1,105.0,923142045
3020,38.732200623,-9.376009941,61,container,0,0,1,107.0,923121212
3022,38.732498169,-9.374130249,62,container,0,0,1,99.0,914802789
3023,38.720199585,-9.387430191,63,container,0,0,1,88.0,11134836200
3024,38.723400116,-9.411149979,64,container,0,0,1,92.0,680024677
3025,38.722000122,-9.411160469,65,container,0,0,1,82.0,459656759
3026,38.717601776,-9.410269737,66,container,0,0,1,71.0,9159827893
3027,38.712898254,-9.40874958,67,container,0,0,1,65.0,1155653843
3028,38.722793579,-9.410086632,68,container,0,0,1,88.0,892321234
3029,38.717899323,-9.408940315,69,container,0,0,1,81.0,11208052782
3031,38.719501495,-9.408430099,70,container,0,0,1,78.0,892322786
3032,38.719200134,-9.407710075,71,container,0,0,1,65.0,892322936
3033,38.718799591,-9.413990021,72,container,0,0,1,63.0,892324197
3034,38.715698242,-9.414509773,73,container,0,0,1,63.0,680267816
3035,38.71490097,-9.41160965,74,container,0,0,1,57.0,892323692
3036,38.715499878,-9.412859917,75,container,0,0,1,56.0,680267982
3037,38.712600708,-9.416119576,76,container,0,0,1,78.0,892323832
3038,38.712501526,-9.414349556,77,container,0,0,1,69.0,9159697963
3039,38.71149826,-9.415579796,78,container,0,0,1,69.0,2574545714
3040,38.709899902,-9.414409637,79,container,0,0,1,65.0,1835249641
3041,38.711700439,-9.412280083,80,container,0,0,1,63.0,9159827876
3042,38.71149826,-9.414079666,81,container,0,0,1,63.0,4518732523
3043,38.713001251,-9.413499832,82,container,0,0,1,61.0,1835249512
3044,38.715801239,-9.416080475,83,container,0,0,1,70.0,892548333
3045,38.719600677,-9.417980194,84,container,0,0,1,91.0,892583365
3046,38.717098236,-9.42220974,85,container,0,0,1,74.0,2360217538
3047,38.716400146,-9.42261982,86,container,0,0,1,72.0,2435303271
3048,38.714298248,-9.42220974,87,container,0,0,1,67.0,892583568
3049,38.715099335,-9.420160294,88,container,0,0,1,71.0,892547844
3050,38.712001801,-9.421339989,89,container,0,0,1,71.0,892547990
3051,38.711601257,-9.42070961,90,container,0,0,1,62.0,892547712
3052,38.712501526,-9.418999672,91,container,0,0,1,71.0,892547985
3053,38.713100433,-9.420330048,92,container,0,0,1,66.0,892548016
3054,38.711101532,-9.421919823,93,container,0,0,1,57.0,10288668384
3055,38.713298798,-9.4249897,94,container,0,0,1,66.0,892583962
3056,38.715198517,-9.424280167,95,container,0,0,1,64.0,894685345
3057,38.723899841,-9.422960281,96,container,0,0,1,102.0,902815622
3058,38.724498749,-9.424940109,97,container,0,0,1,92.0,4341423429
3059,38.730998993,-9.439339638,98,container,0,0,1,94.0,1480163095
3060,38.734199524,-9.438949585,99,container,0,0,1,109.0,1480163459
3061,38.735401154,-9.442410469,100,container,0,0,1,99.0,1480163539
3062,38.735801697,-9.439669609,101,container,0,0,1,108.0,1480163563
3063,38.743900299,-9.435529709,102,container,0,0,1,114.0,26710311
3064,38.751998901,-9.43887043,103,container,0,0,1,158.0,1664492294
3065,38.75120163,-9.441470146,104,container,0,0,1,147.0,1664009016
3066,38.751701355,-9.447239876,105,container,0,0,1,151.0,4317358914
3067,38.753700256,-9.446550369,106,container,0,0,1,181.0,1588647595
3068,38.752601624,-9.452429771,107,container,0,0,1,158.0,6876129805
3070,38.752399445,-9.448559761,108,container,0,0,1,132.0,2435126415
3071,38.715400696,-9.427280426,109,container,0,0,1,46.0,412816952
3072,38.71680069,-9.427080154,110,container,0,0,1,74.0,894685285
3073,38.733898163,-9.376879692,111,container,0,0,1,110.0,923124713
3075,38.736598969,-9.405220032,112,container,0,0,1,125.0,2360443864
3076,38.730800629,-9.384869576,113,container,0,0,1,114.0,1837077610
3079,38.732498169,-9.369059563,114,container,0,0,1,87.0,2353410013
3080,38.717899323,-9.421589851,115,container,0,0,1,81.0,892583491
3081,38.731498718,-9.382929802,116,container,0,0,1,113.0,2353279232
3083,38.732601166,-9.443229675,117,container,0,0,1,92.0,1480163297
3084,38.729499817,-9.375980377,118,container,0,0,1,100.0,2353279538
3086,38.73210144,-9.413809776,119,container,0,0,1,117.0,672196450
3087,38.734798431,-9.390190125,120,container,0,0,1,119.0,1162552466
3088,38.761299133,-9.469659805,121,container,0,0,1,214.0,1609200245
3089,38.721500397,-9.379910469,122,container,0,0,1,78.0,2286795016
3090,38.750099182,-9.437430382,123,container,0,0,1,164.0,1664492155
3091,38.739299774,-9.375229836,124,container,0,0,1,102.0,5216700659
3092,38.717399597,-9.416350365,125,container,0,0,1,78.0,2050632170
3093,38.72769928,-9.373940468,126,container,0,0,1,94.0,2942804093
3094,38.737701416,-9.368200302,127,container,0,0,1,98.0,2813324715
3095,38.723899841,-9.416669846,128,container,0,0,1,84.0,2427330162
3096,38.722400665,-9.373279572,129,container,0,0,1,102.0,9648860749
3097,38.728599548,-9.373889923,130,container,0,0,1,91.0,2353410283
3098,38.710601807,-9.413740158,131,container,0,0,1,58.0,1835249447
3099,38.730800629,-9.39428997,132,container,0,0,1,115.0,914043631
